"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 06:54:41 GMT 2021","Mon Aug 09 06:54:49 GMT 2021","7476","test","test_conduit_remek_panniangyan","TestConduit","","","test__logout",""
"passed","Mon Aug 09 06:53:10 GMT 2021","Mon Aug 09 06:53:43 GMT 2021","33738","test","test_conduit_remek_panniangyan","TestConduit","","","test__import_data_from_file",""
"passed","Mon Aug 09 06:53:46 GMT 2021","Mon Aug 09 06:54:10 GMT 2021","23504","test","test_conduit_remek_panniangyan","TestConduit","","","test__modify_article",""
"passed","Mon Aug 09 06:52:08 GMT 2021","Mon Aug 09 06:52:10 GMT 2021","2059","test","test_conduit_remek_panniangyan","TestConduit","","","test__home_page",""
"passed","Mon Aug 09 06:54:30 GMT 2021","Mon Aug 09 06:54:40 GMT 2021","9501","test","test_conduit_remek_panniangyan","TestConduit","","","test__save_data_to_file",""
"passed","Mon Aug 09 06:52:17 GMT 2021","Mon Aug 09 06:52:25 GMT 2021","8080","test","test_conduit_remek_panniangyan","TestConduit","","","test__registration",""
"passed","Mon Aug 09 06:52:43 GMT 2021","Mon Aug 09 06:52:49 GMT 2021","5583","test","test_conduit_remek_panniangyan","TestConduit","","","test__pagination",""
"passed","Mon Aug 09 06:52:13 GMT 2021","Mon Aug 09 06:52:16 GMT 2021","3065","test","test_conduit_remek_panniangyan","TestConduit","","","test__accept_cookies",""
"passed","Mon Aug 09 06:52:51 GMT 2021","Mon Aug 09 06:53:07 GMT 2021","15864","test","test_conduit_remek_panniangyan","TestConduit","","","test__add_new_article",""
"passed","Mon Aug 09 06:52:27 GMT 2021","Mon Aug 09 06:52:32 GMT 2021","5406","test","test_conduit_remek_panniangyan","TestConduit","","","test__login",""
"passed","Mon Aug 09 06:52:35 GMT 2021","Mon Aug 09 06:52:40 GMT 2021","5452","test","test_conduit_remek_panniangyan","TestConduit","","","test__list_data",""
"passed","Mon Aug 09 06:54:12 GMT 2021","Mon Aug 09 06:54:27 GMT 2021","15137","test","test_conduit_remek_panniangyan","TestConduit","","","test__delete_article",""
