"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:44:46 GMT 2021","Tue Aug 03 22:44:55 GMT 2021","9403","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:43:29 GMT 2021","Tue Aug 03 22:43:40 GMT 2021","10666","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:43:57 GMT 2021","Tue Aug 03 22:44:23 GMT 2021","25657","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:43:00 GMT 2021","Tue Aug 03 22:43:12 GMT 2021","11308","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:44:57 GMT 2021","Tue Aug 03 22:45:06 GMT 2021","9397","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:43:43 GMT 2021","Tue Aug 03 22:43:55 GMT 2021","12701","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:43:13 GMT 2021","Tue Aug 03 22:43:19 GMT 2021","5354","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:42:42 GMT 2021","Tue Aug 03 22:42:46 GMT 2021","3135","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:42:48 GMT 2021","Tue Aug 03 22:42:58 GMT 2021","9469","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:43:21 GMT 2021","Tue Aug 03 22:43:28 GMT 2021","6423","test","test_conduit","TestConduit","","","test__pagination",""
"failed","Tue Aug 03 22:44:25 GMT 2021","Tue Aug 03 22:44:44 GMT 2021","18687","test","test_conduit","TestConduit","","","test__delete_article",""
