"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:43:32 GMT 2021","Tue Aug 03 22:43:58 GMT 2021","25841","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:44:36 GMT 2021","Tue Aug 03 22:44:45 GMT 2021","9477","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:43:03 GMT 2021","Tue Aug 03 22:43:14 GMT 2021","10828","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:44:23 GMT 2021","Tue Aug 03 22:44:33 GMT 2021","9501","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:42:46 GMT 2021","Tue Aug 03 22:42:51 GMT 2021","5432","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:43:17 GMT 2021","Tue Aug 03 22:43:30 GMT 2021","12887","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:42:13 GMT 2021","Tue Aug 03 22:42:16 GMT 2021","3117","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:42:19 GMT 2021","Tue Aug 03 22:42:29 GMT 2021","9626","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:42:31 GMT 2021","Tue Aug 03 22:42:43 GMT 2021","11399","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:42:54 GMT 2021","Tue Aug 03 22:43:00 GMT 2021","6555","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:44:01 GMT 2021","Tue Aug 03 22:44:21 GMT 2021","19795","test","test_conduit","TestConduit","","","test__delete_article",""
