"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:07:11 GMT 2021","Tue Aug 10 09:07:17 GMT 2021","5419","test","test_conduit_panniangyan","TestConduit","","","test__login",""
"passed","Tue Aug 10 09:09:45 GMT 2021","Tue Aug 10 09:09:52 GMT 2021","7545","test","test_conduit_panniangyan","TestConduit","","","test__logout",""
"passed","Tue Aug 10 09:06:54 GMT 2021","Tue Aug 10 09:06:57 GMT 2021","3097","test","test_conduit_panniangyan","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 10 09:09:15 GMT 2021","Tue Aug 10 09:09:30 GMT 2021","15183","test","test_conduit_panniangyan","TestConduit","","","test__delete_article",""
"broken","Tue Aug 10 09:08:29 GMT 2021","Tue Aug 10 09:09:12 GMT 2021","42680","test","test_conduit_panniangyan","TestConduit","","","test__modify_article",""
"passed","Tue Aug 10 09:09:32 GMT 2021","Tue Aug 10 09:09:42 GMT 2021","9574","test","test_conduit_panniangyan","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 10 09:07:27 GMT 2021","Tue Aug 10 09:07:32 GMT 2021","5658","test","test_conduit_panniangyan","TestConduit","","","test__pagination",""
"passed","Tue Aug 10 09:07:54 GMT 2021","Tue Aug 10 09:08:28 GMT 2021","33980","test","test_conduit_panniangyan","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 10 09:07:18 GMT 2021","Tue Aug 10 09:07:24 GMT 2021","5488","test","test_conduit_panniangyan","TestConduit","","","test__list_data",""
"passed","Tue Aug 10 09:07:00 GMT 2021","Tue Aug 10 09:07:09 GMT 2021","8945","test","test_conduit_panniangyan","TestConduit","","","test__registration",""
"passed","Tue Aug 10 09:06:49 GMT 2021","Tue Aug 10 09:06:51 GMT 2021","2109","test","test_conduit_panniangyan","TestConduit","","","test__home_page",""
"passed","Tue Aug 10 09:07:35 GMT 2021","Tue Aug 10 09:07:51 GMT 2021","15949","test","test_conduit_panniangyan","TestConduit","","","test__add_new_article",""
