"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:44:07 GMT 2021","Tue Aug 03 22:44:19 GMT 2021","11318","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:43:52 GMT 2021","Tue Aug 03 22:43:55 GMT 2021","3091","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:45:33 GMT 2021","Tue Aug 03 22:45:53 GMT 2021","19649","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:45:55 GMT 2021","Tue Aug 03 22:46:04 GMT 2021","9407","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:43:57 GMT 2021","Tue Aug 03 22:44:06 GMT 2021","8642","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:44:29 GMT 2021","Tue Aug 03 22:44:36 GMT 2021","6432","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:44:21 GMT 2021","Tue Aug 03 22:44:27 GMT 2021","5345","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:44:51 GMT 2021","Tue Aug 03 22:45:03 GMT 2021","12706","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:44:37 GMT 2021","Tue Aug 03 22:44:48 GMT 2021","10666","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:46:07 GMT 2021","Tue Aug 03 22:46:16 GMT 2021","9373","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:45:06 GMT 2021","Tue Aug 03 22:45:32 GMT 2021","25659","test","test_conduit","TestConduit","","","test__modify_article",""
