"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 13:11:35 GMT 2021","Fri Aug 06 13:11:41 GMT 2021","5346","test","test_conduit_remek_panniangyan","TestConduit","","","test__logout",""
"passed","Fri Aug 06 13:10:06 GMT 2021","Fri Aug 06 13:10:07 GMT 2021","1072","test","test_conduit_remek_panniangyan","TestConduit","","","test__home_page",""
"broken","Fri Aug 06 13:11:14 GMT 2021","Fri Aug 06 13:11:20 GMT 2021","5361","test","test_conduit_remek_panniangyan","TestConduit","","","test__delete_article",""
"failed","Fri Aug 06 13:10:15 GMT 2021","Fri Aug 06 13:10:23 GMT 2021","8150","test","test_conduit_remek_panniangyan","TestConduit","","","test__registration",""
"broken","Fri Aug 06 13:10:53 GMT 2021","Fri Aug 06 13:10:58 GMT 2021","5351","test","test_conduit_remek_panniangyan","TestConduit","","","test__add_new_article",""
"broken","Fri Aug 06 13:11:00 GMT 2021","Fri Aug 06 13:11:05 GMT 2021","5344","test","test_conduit_remek_panniangyan","TestConduit","","","test__import_data_from_file",""
"broken","Fri Aug 06 13:10:25 GMT 2021","Fri Aug 06 13:10:35 GMT 2021","10454","test","test_conduit_remek_panniangyan","TestConduit","","","test__login",""
"passed","Fri Aug 06 13:10:38 GMT 2021","Fri Aug 06 13:10:43 GMT 2021","5395","test","test_conduit_remek_panniangyan","TestConduit","","","test__list_data",""
"broken","Fri Aug 06 13:11:07 GMT 2021","Fri Aug 06 13:11:13 GMT 2021","5355","test","test_conduit_remek_panniangyan","TestConduit","","","test__modify_article",""
"passed","Fri Aug 06 13:10:09 GMT 2021","Fri Aug 06 13:10:12 GMT 2021","3085","test","test_conduit_remek_panniangyan","TestConduit","","","test__accept_cookies",""
"broken","Fri Aug 06 13:10:45 GMT 2021","Fri Aug 06 13:10:50 GMT 2021","5342","test","test_conduit_remek_panniangyan","TestConduit","","","test__pagination",""
"broken","Fri Aug 06 13:11:22 GMT 2021","Fri Aug 06 13:11:33 GMT 2021","10449","test","test_conduit_remek_panniangyan","TestConduit","","","test__save_data_to_file",""
