"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 23:01:03 GMT 2021","Tue Aug 03 23:01:14 GMT 2021","10729","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 23:00:21 GMT 2021","Tue Aug 03 23:00:30 GMT 2021","9262","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 23:00:46 GMT 2021","Tue Aug 03 23:00:51 GMT 2021","5381","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 23:02:33 GMT 2021","Tue Aug 03 23:02:42 GMT 2021","9415","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 23:00:54 GMT 2021","Tue Aug 03 23:01:00 GMT 2021","6488","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 23:00:15 GMT 2021","Tue Aug 03 23:00:18 GMT 2021","3076","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 23:02:21 GMT 2021","Tue Aug 03 23:02:30 GMT 2021","9443","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"broken","Tue Aug 03 23:01:32 GMT 2021","Tue Aug 03 23:01:56 GMT 2021","23690","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 23:00:32 GMT 2021","Tue Aug 03 23:00:43 GMT 2021","11361","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 23:01:58 GMT 2021","Tue Aug 03 23:02:18 GMT 2021","19697","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 23:01:16 GMT 2021","Tue Aug 03 23:01:29 GMT 2021","12802","test","test_conduit","TestConduit","","","test__import_data_from_file",""
