"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 17:49:09 GMT 2021","Tue Aug 03 17:49:13 GMT 2021","3147","test","conduit_test","TestConduit","","","test__accept_cookies",""
"broken","Tue Aug 03 17:49:55 GMT 2021","Tue Aug 03 17:50:06 GMT 2021","11471","test","conduit_test","TestConduit","","","test__pagination",""
"failed","Tue Aug 03 17:49:15 GMT 2021","Tue Aug 03 17:49:25 GMT 2021","9465","test","conduit_test","TestConduit","","","test__registration",""
"broken","Tue Aug 03 17:49:41 GMT 2021","Tue Aug 03 17:49:52 GMT 2021","11482","test","conduit_test","TestConduit","","","test__list_data",""
"broken","Tue Aug 03 17:51:04 GMT 2021","Tue Aug 03 17:51:15 GMT 2021","11476","test","conduit_test","TestConduit","","","test__logout",""
"broken","Tue Aug 03 17:49:28 GMT 2021","Tue Aug 03 17:49:39 GMT 2021","11459","test","conduit_test","TestConduit","","","test__login",""
"broken","Tue Aug 03 17:50:50 GMT 2021","Tue Aug 03 17:51:01 GMT 2021","11449","test","conduit_test","TestConduit","","","test__save_data_to_file",""
"broken","Tue Aug 03 17:50:08 GMT 2021","Tue Aug 03 17:50:20 GMT 2021","11467","test","conduit_test","TestConduit","","","test__add_new_article",""
"broken","Tue Aug 03 17:50:35 GMT 2021","Tue Aug 03 17:50:47 GMT 2021","11452","test","conduit_test","TestConduit","","","test__delete_article",""
"broken","Tue Aug 03 17:50:22 GMT 2021","Tue Aug 03 17:50:34 GMT 2021","11464","test","conduit_test","TestConduit","","","test__import_data_from_file",""
