"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 03 23:37:39 GMT 2021","Tue Aug 03 23:37:58 GMT 2021","18844","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 23:36:31 GMT 2021","Tue Aug 03 23:36:42 GMT 2021","10802","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 23:36:44 GMT 2021","Tue Aug 03 23:37:10 GMT 2021","25714","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 23:35:49 GMT 2021","Tue Aug 03 23:35:58 GMT 2021","8972","test","test_conduit","TestConduit","","","test__registration",""
"broken","Tue Aug 03 23:37:13 GMT 2021","Tue Aug 03 23:37:37 GMT 2021","23814","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 23:38:01 GMT 2021","Tue Aug 03 23:38:10 GMT 2021","9489","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 23:36:00 GMT 2021","Tue Aug 03 23:36:12 GMT 2021","11415","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 23:36:14 GMT 2021","Tue Aug 03 23:36:20 GMT 2021","5406","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 23:38:13 GMT 2021","Tue Aug 03 23:38:23 GMT 2021","9507","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 23:35:43 GMT 2021","Tue Aug 03 23:35:46 GMT 2021","3089","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 23:36:23 GMT 2021","Tue Aug 03 23:36:29 GMT 2021","6577","test","test_conduit","TestConduit","","","test__pagination",""
