"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 19:23:25 GMT 2021","Sun Aug 08 19:23:31 GMT 2021","5431","test","test_conduit_remek_panniangyan","TestConduit","","","test__pagination",""
"passed","Sun Aug 08 19:23:32 GMT 2021","Sun Aug 08 19:23:48 GMT 2021","15666","test","test_conduit_remek_panniangyan","TestConduit","","","test__add_new_article",""
"passed","Sun Aug 08 19:25:10 GMT 2021","Sun Aug 08 19:25:19 GMT 2021","9403","test","test_conduit_remek_panniangyan","TestConduit","","","test__save_data_to_file",""
"passed","Sun Aug 08 19:22:58 GMT 2021","Sun Aug 08 19:23:01 GMT 2021","3097","test","test_conduit_remek_panniangyan","TestConduit","","","test__accept_cookies",""
"passed","Sun Aug 08 19:22:54 GMT 2021","Sun Aug 08 19:22:56 GMT 2021","2215","test","test_conduit_remek_panniangyan","TestConduit","","","test__home_page",""
"passed","Sun Aug 08 19:25:21 GMT 2021","Sun Aug 08 19:25:28 GMT 2021","7392","test","test_conduit_remek_panniangyan","TestConduit","","","test__logout",""
"passed","Sun Aug 08 19:23:12 GMT 2021","Sun Aug 08 19:23:17 GMT 2021","5324","test","test_conduit_remek_panniangyan","TestConduit","","","test__login",""
"passed","Sun Aug 08 19:23:51 GMT 2021","Sun Aug 08 19:24:24 GMT 2021","33358","test","test_conduit_remek_panniangyan","TestConduit","","","test__import_data_from_file",""
"passed","Sun Aug 08 19:24:27 GMT 2021","Sun Aug 08 19:24:50 GMT 2021","23202","test","test_conduit_remek_panniangyan","TestConduit","","","test__modify_article",""
"passed","Sun Aug 08 19:23:02 GMT 2021","Sun Aug 08 19:23:10 GMT 2021","8027","test","test_conduit_remek_panniangyan","TestConduit","","","test__registration",""
"passed","Sun Aug 08 19:24:52 GMT 2021","Sun Aug 08 19:25:07 GMT 2021","14918","test","test_conduit_remek_panniangyan","TestConduit","","","test__delete_article",""
"passed","Sun Aug 08 19:23:19 GMT 2021","Sun Aug 08 19:23:24 GMT 2021","5347","test","test_conduit_remek_panniangyan","TestConduit","","","test__list_data",""
