"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 07:42:43 GMT 2021","Fri Aug 06 07:42:48 GMT 2021","5401","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Fri Aug 06 07:42:12 GMT 2021","Fri Aug 06 07:42:15 GMT 2021","3108","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Fri Aug 06 07:42:50 GMT 2021","Fri Aug 06 07:42:56 GMT 2021","6545","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Fri Aug 06 07:44:09 GMT 2021","Fri Aug 06 07:44:28 GMT 2021","19756","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Fri Aug 06 07:42:30 GMT 2021","Fri Aug 06 07:42:41 GMT 2021","11399","test","test_conduit","TestConduit","","","test__login",""
"passed","Fri Aug 06 07:44:30 GMT 2021","Fri Aug 06 07:44:40 GMT 2021","9487","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Fri Aug 06 07:44:42 GMT 2021","Fri Aug 06 07:44:52 GMT 2021","9492","test","test_conduit","TestConduit","","","test__logout",""
"passed","Fri Aug 06 07:43:40 GMT 2021","Fri Aug 06 07:44:06 GMT 2021","25857","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Fri Aug 06 07:43:12 GMT 2021","Fri Aug 06 07:43:37 GMT 2021","25671","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Fri Aug 06 07:42:58 GMT 2021","Fri Aug 06 07:43:09 GMT 2021","10814","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Fri Aug 06 07:42:18 GMT 2021","Fri Aug 06 07:42:27 GMT 2021","9358","test","test_conduit","TestConduit","","","test__registration",""
