"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:51:02 GMT 2021","Tue Aug 03 22:51:05 GMT 2021","3145","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:53:09 GMT 2021","Tue Aug 03 22:53:18 GMT 2021","9462","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:52:19 GMT 2021","Tue Aug 03 22:52:45 GMT 2021","25758","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:52:03 GMT 2021","Tue Aug 03 22:52:16 GMT 2021","12792","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:51:33 GMT 2021","Tue Aug 03 22:51:38 GMT 2021","5389","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:53:20 GMT 2021","Tue Aug 03 22:53:29 GMT 2021","9453","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:51:20 GMT 2021","Tue Aug 03 22:51:31 GMT 2021","11352","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:51:41 GMT 2021","Tue Aug 03 22:51:47 GMT 2021","6538","test","test_conduit","TestConduit","","","test__pagination",""
"failed","Tue Aug 03 22:52:47 GMT 2021","Tue Aug 03 22:53:06 GMT 2021","18808","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:51:50 GMT 2021","Tue Aug 03 22:52:01 GMT 2021","10738","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:51:08 GMT 2021","Tue Aug 03 22:51:17 GMT 2021","9218","test","test_conduit","TestConduit","","","test__registration",""
