"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 20:00:32 GMT 2021","Tue Aug 03 20:00:43 GMT 2021","10844","test","test_conduit","TestConduit","","","test__add_new_article",""
"broken","Tue Aug 03 20:00:46 GMT 2021","Tue Aug 03 20:00:51 GMT 2021","5359","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 20:01:22 GMT 2021","Tue Aug 03 20:01:41 GMT 2021","19787","test","test_conduit","TestConduit","","","test__delete_article",""
"broken","Tue Aug 03 19:58:21 GMT 2021","Tue Aug 03 19:58:33 GMT 2021","11536","test","conduit_test","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 20:01:55 GMT 2021","Tue Aug 03 20:02:05 GMT 2021","9526","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 19:59:50 GMT 2021","Tue Aug 03 19:59:59 GMT 2021","8586","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 20:00:23 GMT 2021","Tue Aug 03 20:00:29 GMT 2021","6636","test","test_conduit","TestConduit","","","test__pagination",""
"broken","Tue Aug 03 19:59:02 GMT 2021","Tue Aug 03 19:59:14 GMT 2021","11535","test","conduit_test","TestConduit","","","test__delete_article",""
"broken","Tue Aug 03 19:57:54 GMT 2021","Tue Aug 03 19:58:05 GMT 2021","11520","test","conduit_test","TestConduit","","","test__login",""
"broken","Tue Aug 03 19:59:30 GMT 2021","Tue Aug 03 19:59:41 GMT 2021","11524","test","conduit_test","TestConduit","","","test__logout",""
"failed","Tue Aug 03 20:01:44 GMT 2021","Tue Aug 03 20:01:54 GMT 2021","9502","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 20:00:01 GMT 2021","Tue Aug 03 20:00:13 GMT 2021","11427","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 20:00:15 GMT 2021","Tue Aug 03 20:00:20 GMT 2021","5457","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 19:57:36 GMT 2021","Tue Aug 03 19:57:39 GMT 2021","3105","test","conduit_test","TestConduit","","","test__accept_cookies",""
"broken","Tue Aug 03 19:59:17 GMT 2021","Tue Aug 03 19:59:28 GMT 2021","11528","test","conduit_test","TestConduit","","","test__save_data_to_file",""
"failed","Tue Aug 03 19:57:41 GMT 2021","Tue Aug 03 19:57:51 GMT 2021","9488","test","conduit_test","TestConduit","","","test__registration",""
"broken","Tue Aug 03 19:58:35 GMT 2021","Tue Aug 03 19:58:46 GMT 2021","11520","test","conduit_test","TestConduit","","","test__add_new_article",""
"broken","Tue Aug 03 19:58:49 GMT 2021","Tue Aug 03 19:59:00 GMT 2021","11513","test","conduit_test","TestConduit","","","test__import_data_from_file",""
"broken","Tue Aug 03 19:58:07 GMT 2021","Tue Aug 03 19:58:19 GMT 2021","11545","test","conduit_test","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 19:59:44 GMT 2021","Tue Aug 03 19:59:47 GMT 2021","3067","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 20:00:53 GMT 2021","Tue Aug 03 20:01:19 GMT 2021","25850","test","test_conduit","TestConduit","","","test__modify_article",""
