"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 03 22:41:09 GMT 2021","Tue Aug 03 22:41:33 GMT 2021","23799","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:40:30 GMT 2021","Tue Aug 03 22:40:37 GMT 2021","6509","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:39:58 GMT 2021","Tue Aug 03 22:40:08 GMT 2021","9634","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:41:35 GMT 2021","Tue Aug 03 22:41:55 GMT 2021","19765","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:40:53 GMT 2021","Tue Aug 03 22:41:06 GMT 2021","12841","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:39:52 GMT 2021","Tue Aug 03 22:39:55 GMT 2021","3101","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:40:40 GMT 2021","Tue Aug 03 22:40:50 GMT 2021","10815","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:41:58 GMT 2021","Tue Aug 03 22:42:07 GMT 2021","9485","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:42:10 GMT 2021","Tue Aug 03 22:42:19 GMT 2021","9475","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:40:10 GMT 2021","Tue Aug 03 22:40:22 GMT 2021","11421","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:40:23 GMT 2021","Tue Aug 03 22:40:29 GMT 2021","5417","test","test_conduit","TestConduit","","","test__list_data",""
