"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 23:41:00 GMT 2021","Tue Aug 03 23:41:11 GMT 2021","10653","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 23:42:40 GMT 2021","Tue Aug 03 23:42:50 GMT 2021","9449","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 23:40:44 GMT 2021","Tue Aug 03 23:40:50 GMT 2021","5354","test","test_conduit","TestConduit","","","test__list_data",""
"broken","Tue Aug 03 23:41:41 GMT 2021","Tue Aug 03 23:42:04 GMT 2021","23658","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 23:40:20 GMT 2021","Tue Aug 03 23:40:29 GMT 2021","9097","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 23:40:31 GMT 2021","Tue Aug 03 23:40:43 GMT 2021","11323","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 23:40:14 GMT 2021","Tue Aug 03 23:40:17 GMT 2021","3136","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 23:42:07 GMT 2021","Tue Aug 03 23:42:27 GMT 2021","19649","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 23:42:28 GMT 2021","Tue Aug 03 23:42:38 GMT 2021","9409","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 23:40:52 GMT 2021","Tue Aug 03 23:40:59 GMT 2021","6500","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 23:41:13 GMT 2021","Tue Aug 03 23:41:38 GMT 2021","25369","test","test_conduit","TestConduit","","","test__import_data_from_file",""
