"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 09:10:23 GMT 2021","Fri Aug 06 09:10:25 GMT 2021","2187","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__accept_cookies",""
"passed","Fri Aug 06 09:12:13 GMT 2021","Fri Aug 06 09:12:22 GMT 2021","9442","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Fri Aug 06 09:11:55 GMT 2021","Fri Aug 06 09:12:11 GMT 2021","15724","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__delete_article",""
"passed","Fri Aug 06 09:10:27 GMT 2021","Fri Aug 06 09:10:36 GMT 2021","8762","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__registration",""
"broken","Fri Aug 06 09:11:34 GMT 2021","Fri Aug 06 09:11:54 GMT 2021","19720","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__modify_article",""
"passed","Fri Aug 06 09:10:56 GMT 2021","Fri Aug 06 09:11:06 GMT 2021","9769","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__add_new_article",""
"passed","Fri Aug 06 09:12:24 GMT 2021","Fri Aug 06 09:12:31 GMT 2021","7456","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__logout",""
"passed","Fri Aug 06 09:10:50 GMT 2021","Fri Aug 06 09:10:56 GMT 2021","5482","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__pagination",""
"passed","Fri Aug 06 09:11:08 GMT 2021","Fri Aug 06 09:11:32 GMT 2021","24777","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Fri Aug 06 09:10:44 GMT 2021","Fri Aug 06 09:10:50 GMT 2021","5375","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__list_data",""
"passed","Fri Aug 06 09:10:36 GMT 2021","Fri Aug 06 09:10:44 GMT 2021","7370","test","test_REMEK_panniangyan_conduit","TestConduit","","","test__login",""
