"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:45:13 GMT 2021","Tue Aug 03 22:45:24 GMT 2021","11356","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:44:56 GMT 2021","Tue Aug 03 22:44:59 GMT 2021","3060","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:45:44 GMT 2021","Tue Aug 03 22:45:54 GMT 2021","10802","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:46:41 GMT 2021","Tue Aug 03 22:47:01 GMT 2021","19838","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:46:13 GMT 2021","Tue Aug 03 22:46:38 GMT 2021","25799","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:47:15 GMT 2021","Tue Aug 03 22:47:24 GMT 2021","9497","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:45:27 GMT 2021","Tue Aug 03 22:45:33 GMT 2021","5399","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:47:04 GMT 2021","Tue Aug 03 22:47:13 GMT 2021","9496","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:45:34 GMT 2021","Tue Aug 03 22:45:41 GMT 2021","6568","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:45:57 GMT 2021","Tue Aug 03 22:46:10 GMT 2021","12801","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:45:02 GMT 2021","Tue Aug 03 22:45:10 GMT 2021","8807","test","test_conduit","TestConduit","","","test__registration",""
