"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 23:43:28 GMT 2021","Tue Aug 03 23:43:37 GMT 2021","9609","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 23:44:01 GMT 2021","Tue Aug 03 23:44:08 GMT 2021","6590","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 23:43:40 GMT 2021","Tue Aug 03 23:43:51 GMT 2021","11432","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 23:43:22 GMT 2021","Tue Aug 03 23:43:25 GMT 2021","3129","test","test_conduit","TestConduit","","","test__accept_cookies",""
"broken","Tue Aug 03 23:44:51 GMT 2021","Tue Aug 03 23:45:15 GMT 2021","23872","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 23:45:52 GMT 2021","Tue Aug 03 23:46:01 GMT 2021","9521","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 23:44:10 GMT 2021","Tue Aug 03 23:44:21 GMT 2021","10874","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 23:43:54 GMT 2021","Tue Aug 03 23:44:00 GMT 2021","5475","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 23:44:24 GMT 2021","Tue Aug 03 23:44:49 GMT 2021","25938","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 23:45:17 GMT 2021","Tue Aug 03 23:45:37 GMT 2021","19879","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 23:45:40 GMT 2021","Tue Aug 03 23:45:49 GMT 2021","9549","test","test_conduit","TestConduit","","","test__save_data_to_file",""
