"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:48:06 GMT 2021","Tue Aug 03 22:48:15 GMT 2021","9482","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:46:24 GMT 2021","Tue Aug 03 22:46:31 GMT 2021","6505","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:45:46 GMT 2021","Tue Aug 03 22:45:49 GMT 2021","3137","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:46:34 GMT 2021","Tue Aug 03 22:46:44 GMT 2021","10765","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Tue Aug 03 22:46:16 GMT 2021","Tue Aug 03 22:46:22 GMT 2021","5422","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:47:53 GMT 2021","Tue Aug 03 22:48:03 GMT 2021","9476","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:47:31 GMT 2021","Tue Aug 03 22:47:51 GMT 2021","19765","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:46:02 GMT 2021","Tue Aug 03 22:46:13 GMT 2021","11371","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:46:47 GMT 2021","Tue Aug 03 22:47:00 GMT 2021","12827","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Tue Aug 03 22:45:51 GMT 2021","Tue Aug 03 22:46:00 GMT 2021","9374","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:47:03 GMT 2021","Tue Aug 03 22:47:28 GMT 2021","25784","test","test_conduit","TestConduit","","","test__modify_article",""
