"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 07:36:19 GMT 2021","Thu Aug 05 07:36:28 GMT 2021","9492","test","test_conduit","TestConduit","","","test__logout",""
"passed","Thu Aug 05 07:34:35 GMT 2021","Thu Aug 05 07:34:45 GMT 2021","10815","test","test_conduit","TestConduit","","","test__add_new_article",""
"passed","Thu Aug 05 07:34:48 GMT 2021","Thu Aug 05 07:35:14 GMT 2021","25706","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"passed","Thu Aug 05 07:35:15 GMT 2021","Thu Aug 05 07:35:41 GMT 2021","25847","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Thu Aug 05 07:34:04 GMT 2021","Thu Aug 05 07:34:15 GMT 2021","11400","test","test_conduit","TestConduit","","","test__login",""
"passed","Thu Aug 05 07:36:07 GMT 2021","Thu Aug 05 07:36:16 GMT 2021","9507","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Thu Aug 05 07:33:47 GMT 2021","Thu Aug 05 07:33:50 GMT 2021","3154","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Thu Aug 05 07:34:18 GMT 2021","Thu Aug 05 07:34:24 GMT 2021","5429","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Thu Aug 05 07:33:53 GMT 2021","Thu Aug 05 07:34:02 GMT 2021","9302","test","test_conduit","TestConduit","","","test__registration",""
"passed","Thu Aug 05 07:34:25 GMT 2021","Thu Aug 05 07:34:32 GMT 2021","6563","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Thu Aug 05 07:35:44 GMT 2021","Thu Aug 05 07:36:04 GMT 2021","19817","test","test_conduit","TestConduit","","","test__delete_article",""
