"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 22:41:03 GMT 2021","Tue Aug 03 22:41:13 GMT 2021","9468","test","test_conduit","TestConduit","","","test__save_data_to_file",""
"passed","Tue Aug 03 22:38:57 GMT 2021","Tue Aug 03 22:39:00 GMT 2021","3127","test","test_conduit","TestConduit","","","test__accept_cookies",""
"passed","Tue Aug 03 22:40:00 GMT 2021","Tue Aug 03 22:40:12 GMT 2021","12802","test","test_conduit","TestConduit","","","test__import_data_from_file",""
"failed","Tue Aug 03 22:40:43 GMT 2021","Tue Aug 03 22:41:01 GMT 2021","18804","test","test_conduit","TestConduit","","","test__delete_article",""
"passed","Tue Aug 03 22:39:03 GMT 2021","Tue Aug 03 22:39:12 GMT 2021","9305","test","test_conduit","TestConduit","","","test__registration",""
"passed","Tue Aug 03 22:39:15 GMT 2021","Tue Aug 03 22:39:26 GMT 2021","11356","test","test_conduit","TestConduit","","","test__login",""
"passed","Tue Aug 03 22:41:15 GMT 2021","Tue Aug 03 22:41:25 GMT 2021","9473","test","test_conduit","TestConduit","","","test__logout",""
"passed","Tue Aug 03 22:40:14 GMT 2021","Tue Aug 03 22:40:40 GMT 2021","25742","test","test_conduit","TestConduit","","","test__modify_article",""
"passed","Tue Aug 03 22:39:37 GMT 2021","Tue Aug 03 22:39:44 GMT 2021","6501","test","test_conduit","TestConduit","","","test__pagination",""
"passed","Tue Aug 03 22:39:29 GMT 2021","Tue Aug 03 22:39:34 GMT 2021","5406","test","test_conduit","TestConduit","","","test__list_data",""
"passed","Tue Aug 03 22:39:46 GMT 2021","Tue Aug 03 22:39:57 GMT 2021","10742","test","test_conduit","TestConduit","","","test__add_new_article",""
